Total resource allocated for Hadoop clsuter 	540.0 vCPU 	1080.0 GB memory
Resources (vCPU, Memory) unused in every commit (10000) milli seconds
284	540.0	1080.0
285	540.0	1080.0
286	540.0	1080.0
287	540.0	1080.0
288	540.0	1080.0
289	540.0	1080.0
290	540.0	1080.0
291	540.0	1080.0
292	540.0	1080.0
293	540.0	1080.0
294	540.0	1080.0
295	540.0	1080.0
296	540.0	1080.0
297	540.0	1080.0
298	540.0	1080.0
299	540.0	1080.0
300	540.0	1080.0
301	540.0	1080.0
302	540.0	1080.0
303	540.0	1080.0
304	540.0	1080.0
305	540.0	1080.0
306	540.0	1080.0
307	540.0	1080.0
308	540.0	1080.0
309	540.0	1080.0
310	540.0	1080.0
311	540.0	1080.0
312	540.0	1080.0
313	540.0	1080.0
314	540.0	1080.0
315	540.0	1080.0
316	540.0	1080.0
317	540.0	1080.0
318	540.0	1080.0
319	540.0	1080.0
320	540.0	1080.0
321	540.0	1080.0
322	540.0	1080.0
323	540.0	1080.0
324	540.0	1080.0
325	540.0	1080.0
326	540.0	1080.0
327	540.0	1080.0
328	540.0	1080.0
329	540.0	1080.0
330	540.0	1080.0
331	540.0	1080.0
332	540.0	1080.0
333	540.0	1080.0
334	540.0	1080.0
335	540.0	1080.0
336	540.0	1080.0
337	540.0	1080.0
338	540.0	1080.0
339	540.0	1080.0
340	540.0	1080.0
341	540.0	1080.0
342	540.0	1080.0
343	540.0	1080.0
344	540.0	1080.0
345	540.0	1080.0
346	540.0	1080.0
347	540.0	1080.0
348	540.0	1080.0
349	540.0	1080.0
350	540.0	1080.0
351	540.0	1080.0
352	540.0	1080.0
353	540.0	1080.0
354	540.0	1080.0
355	540.0	1080.0
356	540.0	1080.0
357	540.0	1080.0
358	540.0	1080.0
359	540.0	1080.0
360	540.0	1080.0
361	540.0	1080.0
362	540.0	1080.0
363	540.0	1080.0
364	540.0	1080.0
365	540.0	1080.0
366	540.0	1080.0
367	540.0	1080.0
368	540.0	1080.0
369	540.0	1080.0
370	540.0	1080.0
371	540.0	1080.0
372	540.0	1080.0
373	540.0	1080.0
374	540.0	1080.0
375	540.0	1080.0
376	540.0	1080.0
377	540.0	1080.0
378	540.0	1080.0
379	540.0	1080.0
380	540.0	1080.0
381	540.0	1080.0
382	540.0	1080.0
383	540.0	1080.0
384	540.0	1080.0
385	540.0	1080.0
386	540.0	1080.0
387	540.0	1080.0
388	540.0	1080.0
389	540.0	1080.0
390	540.0	1080.0
391	540.0	1080.0
392	540.0	1080.0
393	540.0	1080.0
394	540.0	1080.0
395	540.0	1080.0
396	540.0	1080.0
397	540.0	1080.0
398	540.0	1080.0
399	540.0	1080.0
400	540.0	1080.0
401	540.0	1080.0
402	540.0	1080.0
403	540.0	1080.0
404	540.0	1080.0
405	540.0	1080.0
406	540.0	1080.0
407	540.0	1080.0
408	540.0	1080.0
409	540.0	1080.0
410	540.0	1080.0
411	540.0	1080.0
412	540.0	1080.0
413	540.0	1080.0
414	540.0	1080.0
415	540.0	1080.0
416	540.0	1080.0
417	540.0	1080.0
418	540.0	1080.0
419	540.0	1080.0
420	540.0	1080.0
421	540.0	1080.0
422	540.0	1080.0
423	540.0	1080.0
424	540.0	1080.0
425	540.0	1080.0
426	540.0	1080.0
427	540.0	1080.0
428	540.0	1080.0
429	540.0	1080.0
430	540.0	1080.0
431	540.0	1080.0
432	540.0	1080.0
433	540.0	1080.0
434	540.0	1080.0
435	540.0	1080.0
436	540.0	1080.0
437	540.0	1080.0
438	540.0	1080.0
439	540.0	1080.0
440	540.0	1080.0
441	540.0	1080.0
442	540.0	1080.0
443	540.0	1080.0
444	540.0	1080.0
445	540.0	1080.0
446	540.0	1080.0
447	540.0	1080.0
448	540.0	1080.0
